"code","name","type","country","flavor_profile","origin","harvest_season","price_per_kg","price_per_pkg","sold_out","grade","altitude","density","processing_method","variety"
"S29","哥伦比亚 大嘴鸟庄园 厌氧日晒 爪哇","premium","哥伦比亚","枇杷， 啤梨， 车厘子， 红色莓果，甜度高。","La Sierra Nevada de Santa Marta","2023","200.0","190.0","False","Supremo","1800M","889g/l","厌氧日晒","JAVA"
"S29-1","哥伦比亚 天堂庄园 Delagua 厌氧日晒","premium","哥伦比亚","养乐多、红糖、葡萄、菠萝干、蔗糖、青茶。","Sierra Nevada","2023","140.0","130.0","False","Supremo","2000M","883g/l","厌氧日晒","Castillo"
"S30-4","哥伦比亚 圣荷西庄园 兰姆酒桶发酵 水洗法","premium","哥伦比亚","兰姆酒，麝香葡萄，樱桃，核果，酒香巧克力，莱姆香气, 酸值明亮带花香, 口感绵密转甜。","Finca San Jose Estate","2023","350.0","","False","Supremo","1750 m","768g/l","兰姆酒桶发酵","Castillo"
"S30-7","哥伦比亚 圣荷西庄园 威士忌酒桶 蜜处理","premium","哥伦比亚","熏衣草、薄荷、奶油香草酱、白葡萄酒、冰糖。","Caldas/","2023","360.0","","False","Supremo","1750 m","862g/l","威士忌蜜处理","Castillo"
"S30-8","哥伦比亚 苏利亚庄园 卡斯提优 甜杏桃蜜处理","premium","哥伦比亚","白葡萄干 、杏桃、草莓、花香，红茶。","Quindio金迪欧","2024","200.0","190.0","False","Supremo","1700-1850M","869g/l","甜杏桃蜜处理","Castillo"
"S30-9","哥伦比亚 苏利亚庄园 卡斯提优 香吉士日晒","premium","哥伦比亚","柳橙,菠萝,奇异果,红糖。","苏利亚庄园/Quindio金迪欧","2023","200.0","190.0","False","Supremo","1700-1850M","890g/l","橘子日晒","Castillo"
"S31","哥伦比亚 甲壳虫庄园 酒香日晒 黄哥伦比亚","premium","哥伦比亚","果酒香，葡萄干，凤梨蜜，肉桂，可可奶油。","托利马 庄 园： Finca El Escarabajo","2023","175.0","165.0","False","supremo","1700M+","874g/l","酒香日晒","Yellow Colombia"
"S31-1","哥伦比亚 泉水庄园 瑰夏 水洗","premium","哥伦比亚","茉莉花，蜜橘，枫糖，葡萄柚，饱满精致。","慧兰 HUILA","2023","338.0","","False","supremo","1750M+","834g/l","精致水洗处理","GEISHA"
"S31-2","哥伦比亚 蒙特布兰克庄园 瑰夏 冷发酵加强水洗","premium","哥伦比亚","姜花，柠檬草，橙子，红茶茶感，橘酸质，黄糖甜感。","Monteblanco/HUILA","2023","278.0","","False","supremo","1700-1850M","836g/l","冷发酵加强水洗","GEISHA"
"S31-4","哥伦比亚 蒙特布兰克庄园 紫卡杜拉 薄荷水洗","premium","哥伦比亚","薄荷巧克力、香蕉清冰、肉桂、冰糖。","Monteblanco/HUILA","2023","209.0","195.0","False","supremo","1700-1850M","829g/l","薄荷水洗处理","紫卡杜拉"
"S31-5","哥伦比亚 蒙特布兰克庄园 紫卡杜拉 荔枝气泡","premium","哥伦比亚","水蜜桃，百香果，黄柠檬，明亮柠酸，果茶茶感。","Monteblanco/HUILA","2024","209.0","195.0","False","supremo","1900M","853g/l","百香果酵母厌氧水洗","紫卡杜拉"
"S31-9","哥伦比亚 蒙特布兰克庄园 紫卡杜拉 柠檬日晒","premium","哥伦比亚","蜜柑、柚子、水蜜桃、牛奶凤梨、水果软糖。","Monteblanco /HUILA","2023","214.0","200.0","False","supremo","1700-1850M","845g/l","柠檬酵母发酵厌氧日晒","紫卡杜拉"
"S32","哥伦比亚 雪松庄园 粉波旁 红糖厌氧日晒","premium","哥伦比亚","雪松，白色草莓，绿色查尔特勒酒，香蕉太妃糖，香草黄油，木瓜，烤椰子。","Finca Los Cedros","2023","250.0","240.0","False","supremo","1600-1800M","885g/l","红樱桃果与红糖蔗糖置与密封桶中发酵16天，再日晒干燥25天","Pink Bourbon"
"S32-4","花月夜. 哥伦比亚 慧兰 艾斯维多加汀庄园 厌氧日晒","premium","哥伦比亚","菠萝、芒果、 荔枝、 哈密瓜","HUILA","2023","215.0","205.0","False","Supremo","1800m","863g/l","厌氧日晒处理","Caturra/卡杜拉"
"S32-5","玫瑰谷. 哥伦比亚 大树庄园 双重厌氧水洗","premium","哥伦比亚","草莓酱、水蜜桃、香蕉、蜜瓜。","Santander","2023","230.0","220.0","False","Supremo","1700m","865g/l","双重厌氧水洗","Caturra/卡杜拉"
"S32-6","哥伦比亚 平原庄园 粉红波旁 水洗","premium","哥伦比亚","芳香馥郁，红色水果，焦糖，西梅。","HUILA 庄 园 ： 平原庄园","2022","136.0","132.0","False","Supremo","1760M","856g/l","水洗处理","粉红波旁"
"S32-8","哥伦比亚 独木舟庄园 肉桂水洗 条纹波旁","premium","哥伦比亚","香草，肉桂，太妃糖，香料，蜜桔。","HUILA 庄 园 ： 独木舟庄园 LA PIRAGUA","2023","186.0","176.0","False","Supremo","1800+M","905g/l","肉桂水洗处理","条纹波旁"
"S32-9","哥伦比亚 独木舟庄园 日晒 条纹波旁","premium","哥伦比亚","红酒，黑色莓果，柠檬，枫糖甜，层次丰富，BODY厚实。","HUILA 庄 园 ： 独木舟庄园 LA PIRAGUA","2023","203.0","192.0","False","Supremo","1800+M","904g/l","日晒处理","条纹波旁"
"S32-10","哥伦比亚 独木舟庄园 蜜处理 瑰夏 48H有氧发酵","premium","哥伦比亚","花香，芒果，红莓，蜂蜜茶，饱满多汁。","HUILA 庄 园 ： 独木舟庄园 LA PIRAGUA","2023","380.0","","False","Supremo","1800+M","833g/l","蜜处理","Gesha瑰夏"
"S32-1","哥伦比亚 长白山庄园 Wushwush","premium","哥伦比亚","百花蜜、蜜饯、白桃、柠檬干、高甜度。","Tolima/ Jairo Amaya","2021","169.0","","False","supremo","1500-1900M","923g/l","低温慢速厌氧蜜处理","Wushwush+Typica"
"S33","哥伦比亚 鲜花庄园 厌氧水洗 粉红波旁","premium","哥伦比亚","花香，血橙，莓果多汁，中等body。","HUILA 庄 园 ： 鲜花庄园/Las Flores","2024","222.0","210.0","False","Supremo","1900+M","904g/l","厌氧水洗","粉红波旁"
"S33-1","哥伦比亚 鲜花庄园 奇洛索 厌氧日晒","premium","哥伦比亚","草莓，芒果，百香果，水果糖，果汁感丰富，酸质明亮，中等body。","慧兰HUILA 庄 园 ： 鲜花庄园/Las Flores","2023","250.0","238.0","False","Supremo","1900+M","900g/l","厌氧日晒处理","奇洛索/Chiroso"
"S34","肯尼亚 基里尼亚加 多门处理厂 AA","premium","肯尼亚","白色花香，莓果，酸质明亮，口感干净。","Kirinyaga /Dormans处理厂","2023","115.0","105.0","False","AA","1700-2200M","875g/l","水洗处理","SL28，SL34"
"S35","肯尼亚 涅里 AA","premium","肯尼亚","葡萄，乌梅，莓果，黑加仑，橘子，黄糖。","NYERI/ MATHARI","2024","98.0","88.0","False","AA","1800-2100M","897g/l","K72小时处理法","SL28，SL34"
"S37","肯尼亚 涅里 可里米里庄园 AA","premium","肯尼亚","黑醋粟，乌梅，青柠，橙汁，蜂蜜，酸甜平衡感好，口感圆润顺滑。","Nyeri/kirimiri","2024","110.0","100.0","False","AA","1735-1900M","806g/l","水洗处理","SL28"
"S38","肯尼亚 麒麟雅加AA FAQ","premium","肯尼亚","白色花香，番茄，山楂，乌梅，明亮酸质，果汁般醇厚度，红糖甜感。","Kirinyaga","2024","85.0","72.0","False","AA","1650-1900M","899g/l","水洗处理","SL34"
"S40","肯尼亚 基安布 吉提图 AB 精品","premium","肯尼亚","莱姆，哈蜜瓜，小红莓，青梅，红茶，坚果。","基安布/Gititu合作社","2021","75.0","","False","AB PLUS","1600m","881g/l","水洗处理","SL28，SL34"
"S41","肯尼亚 布阿尼 AA 微批次","premium","肯尼亚","白花，无花果，葡萄，橘子糖。","KIKAMBUANI处理厂","2021","85.0","","False","AA","1500-1900m","870 g/l","水洗处理（Washed）","SL28 & SL34"
"S45","坦桑尼亚 阿鲁沙庄园 小红莓 AB 精品","premium","坦桑尼亚","莓果、红色水果、红茶、轻红酒感、柔酸。","Arusha/梅鲁火山","2023","77.0","68.0","False","AB","1800M","790g/l","水洗处理","Bourbon"
"G1","金标批次 埃塞俄比亚 瑰夏村","premium","埃塞俄比亚","茉莉花，杏桃，熟葡萄，甜橙汁，绿茶。","OMA","2023","670.0","650.0","False","G1","1931--2049M","835g/l","日晒处理","Gesha1931"
"G2-3","埃塞俄比亚 瑰夏村 Gori 瑰夏种","premium","埃塞俄比亚","黑布林，桃子，红苹果，梨，柑橘，红糖，甜度佳。","Shaya地块","2023","368.0","350.0","False","G1","1926--2011M","852g/l","日晒处理","Gori 瑰夏种"
"G2-4","埃塞俄比亚 瑰夏村 Illubabor Forest","premium","埃塞俄比亚","花香，果酱，橘子，热带水果风味，甜瓜，高甜，丰富多变的滋味。","Dimma地块","2023","368.0","350.0","False","G1","1966--2019M","867g/l","日晒处理","Illubabor Gesha"
"G2-5","埃塞俄比亚 瑰夏村 Gori Gesha","premium","埃塞俄比亚","花香，草莓，葡萄柚，蜜糖，桃子，梨，红茶。","Bangi地块","2023","368.0","350.0","False","G1","1911—2001M","868g/l","日晒处理","Gori Gesha"
"G2-6","埃塞俄比亚 瑰夏村 Gori Gesha","premium","埃塞俄比亚","茉莉花，柠檬，橙子，橘子，风味清新，口感干净。","Bangi地块","2023","368.0","350.0","False","G1","1911—2001M","881g/l","水洗处理","Gori Gesha"
"G3","埃塞俄比亚 瑰夏村 Illubabor Forest","premium","埃塞俄比亚","柑橘，柠檬，热带水果，蜂蜜，高甜度，绿茶。","Gaylee地块","2023","235.0","220.0","False","G1","1966--2000M","846g/l","日晒处理","Illubabor Forest"
"G3-1","埃塞俄比亚 瑰夏村 Illubabor Forest","premium","埃塞俄比亚","蔷薇花，桃子，荔枝，红糖，柑橘，番石榴，红茶，口感丝滑柔顺。","Dimma地块","2022","205.0","180.0","False","G1","1966--2019M","892g/l","日晒处理","Illubabor Forest"
"G3-2","埃塞俄比亚 瑰夏村 Illubabor Forest","premium","埃塞俄比亚","青苹果，蔓越莓，花香，苹果酸，油桃，桃子，玫瑰。","Gaylee地块","2023","235.0","220.0","False","G1","1916--1982M","890g/l","日晒处理","Illubabor Forest"
"G3-4","埃塞俄比亚 瑰夏村 Illubabor Forest","premium","埃塞俄比亚","荔枝，花香，红苹果，柑橘，波罗蜜，回味持久。","Gaylee 地块","2023","235.0","220.0","False","G1","1916--1982M","903g/l","日晒处理","Illubabor Forest"
"G3-5","埃塞俄比亚 瑰夏村 Illubabor Forest","premium","埃塞俄比亚","白色花香，黑樱桃，柑橘，柠檬，黄桃。","Gaylee 地块","2023","235.0","220.0","False","G1","1916--1982M","845g/l","水洗处理","Illubabor Forest"
"G5","埃塞俄比亚 耶加雪菲 库克 日晒 G1","premium","埃塞俄比亚","橘子，橙花香气，水果糖，花香，茶感尾韵，甜感佳，口感干净。","Yirgacheffe KOKE SHALAYE","2023","125.0","115.0","False","G1","1973M","870g/l","日晒处理","74110、74112、74165"
"G6","埃塞俄比亚 耶加雪菲 红樱桃 日晒 G1","premium","埃塞俄比亚","凤梨，柑橘，葡萄，焦糖，果汁感。","Yirgacheffe","2023","120.0","110.0","False","G1","2200-2300M","886g/l","日晒处理","Heirloom"
"G7","埃塞俄比亚 耶加雪菲 树上干果日晒 G1","premium","埃塞俄比亚","玫瑰花，茉莉花香，柠檬，红酒，红茶，甜度很高。","GERSE/MPC","2023","180.0","170.0","False","G1","1900--2200M","863g/l","树上干果日晒","Heirloom"
"G8","埃塞俄比亚 古齐 Kebir梨桃花 2023TOH日晒冠军","premium","埃塞俄比亚","超级甜感，水蜜桃，紫色花香，瑞士糖，水果糖。","GUJI/KEBELE","2023","200.0","190.0","False","G1","1920 - 2250M","864g/l","日晒处理","74112"
"G9","埃塞俄比亚 2024 TOH水洗组冠军 第一名空运批次","premium","埃塞俄比亚","白花，水蜜桃，青柠，佛手柑。","Guji Hambella 处理站 ： Bule Hamabal Kebele/Station","2024","208.0","","False","G1（竞赛级精品）","2150 - 2300M","905g/l","水洗处理","Heirloom"
"X1-1","埃塞俄比亚 耶加雪菲 G1日晒 精品","premium","埃塞俄比亚","柑橘，柠檬，花香、荔枝。","Yirgacheffe","2022","81.0","72.0","False","G1","2000-2200M","885g/l","日晒处理","Heirloom"
"X1-2","埃塞俄比亚 古齐 G1日晒 精品","premium","埃塞俄比亚","柑橘、杏桃、茉莉花、成熟水果、红茶。","SIDAMO GUJI","2022","81.0","72.0","False","G1","2000-2200M","820g/l","日晒处理","Heirloom"
"S9","哥斯达黎加 女神庄园 厌氧日晒 瑰夏","premium","哥斯达黎加","浓郁花香，凤梨、百香果、水蜜桃，超级热带水果的风味，白葡萄果汁般的质地细腻精致，丰富多变的滋味，干净清新。","Dota/女神庄园","2022","438.0","","False","SHB","1800M","886g/l","厌氧日晒","Geisha"
"S9-1","哥斯达黎加 女神庄园 瑰夏 酵素水洗","premium","哥斯达黎加","爆炸花香， 橙花， 茉莉， 草莓， 水果糖 ，玫瑰鲜花饼。","Dota/女神庄园","2022","430.0","","False","SHB","1800M","852g/l","水洗处理","Geisha"
"S10","哥斯达黎加 火凤凰庄园 蓝宝石 慢速日晒","premium","哥斯达黎加","无花果酱，橘子，黑糖，乌龙茶。","火凤凰庄园/中央山谷","2022","130.0","130.0","False","SHB","1600M","912g/l","慢速日晒","Caturra, Catuai"
"S10-1","哥斯达黎加 火凤凰庄园 黑玫瑰 厌氧日晒","premium","哥斯达黎加","蓝莓果酱，葡萄，凤梨干，水梨。","火凤凰庄园/中央山谷","2022","135.0","135.0","False","SHB","1600M","905g/l","厌氧日晒处理","Caturra"
"S10-2","哥斯达黎加 马丁帕迪拉处理厂 厌氧日晒","premium","哥斯达黎加","葡萄酒，蓝莓，芒果，桃子酸奶，杏桃，果汁与复杂的酒感。","塔拉珠","2022","143.0","143.0","False","SHB","1800M","896g/l","厌氧日晒处理","Villa Lobos薇拉罗伯斯"
"S11-4","哥斯达黎加 科培庄园 瑰夏 日晒","premium","哥斯达黎加","强烈花香，杏桃， 甜橙， 蜂蜜，非常干净，媲美顶级巴拿马瑰夏。","Finca Copey/Dota","2023","330.0","","False","SHB","1900M","900g/l","日晒处理","Geisha"
"S11-7","哥斯达黎加 巨石庄园 瑰夏 日晒","premium","哥斯达黎加","花香，甜橙， 菠萝， 葡萄，高甜度，风味丰富多变。","Finca Casa de Piedra","2022","360.0","","False","SHB","1500-1700M","877g/l","日晒处理","Geisha"
"S12","哥斯达黎加 塔拉珠 卡内特庄园 音乐家 贝多芬","premium","哥斯达黎加","葡萄干、柠檬 、蓝莓、 桃子、 木瓜、 花香、层次丰富多变、整体平衡感。","Canet庄园","2023","170.0","170.0","False","SHB","1900M","886g/l","酵素水洗","Yellow Caturra"
"S12-1","哥斯达黎加 卡内特庄园 葡萄干蜜处理 音乐家 巴哈","premium","哥斯达黎加","浓烈酒香、加州黑李、蜜饯、太妃糖甜、瑞士巧克力、尾韵有着兰姆酒般醇厚。","Canet庄园","2023","180.0","180.0","False","SHB","1950M","895g/l","葡萄干蜜处理","Caturra"
"S12-2","哥斯达黎加 卡内特 音乐家系列 莫扎特","premium","哥斯达黎加","新鲜菠萝、综合莓果、番石榴酸、蜜饯、焦糖、核果，风味强劲。","Canet庄园","2023","190.0","190.0","False","SHB","1900M","851g/l","葡萄干蜜处理","Caturra"
"S12-3","哥斯达黎加 卡内特庄园 肖邦 葡萄干蜜处理 F1品种","premium","哥斯达黎加","草莓，紫葡萄， 樱桃， 红莓， 枫糖， 香槟酒。","Canet庄园","2023","190.0","190.0","False","SHB","1700M","853g/l","葡萄干蜜处理","F1"
"S14-2","哥斯达黎加 米拉珠庄园 葡萄干蜜处理（瑰夏拼配）","premium","哥斯达黎加","爆炸茉莉花香 草莓糖 水蜜桃 水果酒。","Mirazu庄园","2023","155.0","155.0","False","SHB","1700M","856g/l","葡萄干蜜处理","Geisha 、ET47、 SL28、 Maico"
"S11-8","哥斯达黎加 巨石庄园 F1黑蜜处理","premium","哥斯达黎加","葡萄干的香气、葡萄干的酸值与甜感、风味有菠萝干与陈皮梅、尾韵带有核桃的香气。","Finca Las Piedra","2023","130.0","130.0","False","SHB","1700-1800M","862g/l","黑蜜处理","F1"
"S14-3","哥斯达黎加 小蜜蜂 黑蜜处理","premium","哥斯达黎加","黄花、橘子、枣子、绿茶。","SAN VITO/LA ABEJILLA FARM","2023","145.0","145.0","False","SHB","1600M","905g/l","黑蜜处理","Venecia"
"S13","哥斯达黎加 科培庄园 Villasarchi 黑蜜处理","premium","哥斯达黎加","葡萄干，樱桃，熟凤梨，蔗糖，绿茶。","Tarrazu/ Hacienda Copey","2024","150.0","150.0","False","SHB","1840-2195M","903g/l","黑蜜处理","Villasarchi"
"S13-1","哥斯达黎加 科培庄园 Villasarchi 红蜜处理","premium","哥斯达黎加","草莓，热带水果，青苹果，奇异果，青茶。","Tarrazu/ Hacienda Copey","2024","150.0","150.0","False","SHB","1840-2195M","886g/l","红蜜处理","Villasarchi"
"S14-4","哥斯达黎加 拉斯拉哈斯庄园 黑蜜处理","premium","哥斯达黎加","花香，热带水果，芒果，橙子，蜜瓜，甜感持久饱满，BODY厚实。","中央山谷/拉斯拉哈斯庄园","2023","155.0","155.0","False","SHB","1550M","875g/l","黑蜜处理","Caturra, Catuai"
"S14-5","哥斯达黎加 拉斯拉哈斯庄园 红蜜处理","premium","哥斯达黎加","蔓越莓，奇异果，青果，蔗糖。","中央山谷/拉斯拉哈斯庄园","2024","125.0","125.0","False","SHB","1550M","901g/l","红蜜处理","Caturra, Catuai"
"S14-7","哥斯达黎加 拉斯拉哈斯 黑珍珠日晒","premium","哥斯达黎加","黑莓，黑布林，葡萄干，蜜饯，酒香，甜感持久饱满，BODY厚实。","中央山谷/拉斯拉哈斯庄园","2023","155.0","155.0","False","SHB","1600M","795g/l","黑珍珠日晒","Caturra"
"S14-8","哥斯达黎加 拉斯拉哈斯 黑灵魂","premium","哥斯达黎加","樱桃果酱，黑加仑，热带水果，可可，甜感十足。","中央山谷/拉斯拉哈斯庄园","2023","155.0","155.0","False","SHB","1600M","812g/l","全红果日晒","卡杜拉&卡杜艾"
"S14-9","哥斯达黎加 塔拉珠 红蜜处理","premium","哥斯达黎加","哈密瓜，石榴，蜂蜜，甜香。","Tarrazu,San Jose","2023","100.0","100.0","False","SHB","1600-1900M","808g/l","红蜜处理","Caturra, Catuai"
"S14-6","哥斯达黎加 唐.梅奥 黄蜜处理","premium","哥斯达黎加","哈蜜瓜，蜂蜜，焦糖，柑橘，高甜，酸质明亮，口感干净。","塔拉珠","2021","77.0","77.0","False","SHB","1850M","863g/l","黄蜜处理","Caturra"
"S15-3","秘鲁 禅茶玛悠 卡杜拉 日晒","premium","秘鲁","花香，柑橘，橙子，樱桃，坚果，核桃，巧克力，糖蜜，甜度好，余韵悠长。","禅茶玛悠/COOPCHE（ 库普合作社）","2024","94.0","94.0","False","SHB","1600M","847g/l","日晒处理","Caturra"
"S15-4","秘鲁 禅茶玛悠 卡杜拉 水洗","premium","秘鲁","花香，柑橘，甘蔗，巧克力，焦糖，蜜糖，麦芽，奶油，酸质明亮，余韵悠长。","禅茶玛悠/COOPCHE（ 库普合作社）","2024","82.0","82.0","False","SHB","1600M","825g/l","水洗处理","Caturra"
"S16-1","萨尔瓦多 戈巴多庄园 波旁厌氧日晒","premium","萨尔瓦多","葡萄，苹果，莓果，柠檬，坚果，巧克力，甜感好，风味浓郁，口感圆润顺滑。","Finca El Gobiado/Ahuachapán","2023","145.0","145.0","False","SHB","1300M","887g/l","厌氧日晒处理","Orange, Yellow & Red Bourbon"
"S16-2","萨尔瓦多 莱穆斯庄园 日晒","premium","萨尔瓦多","柠檬茶，李子，黑莓果，巧克力，焦糖。","Finca LEMUS","2023","103.0","103.0","False","SHB","1200M","902g/l","日晒处理","Red Icatu"
"S16-3","萨尔瓦多 安妮塔庄园 蜜处理","premium","萨尔瓦多","焦糖，青苹果，巧克力，金桔。","Finca Anita","2023","95.0","95.0","False","SHB","1500M","867g/l","蜜处理","Typica、Catuai Bourbon Pointu"
"S17","危地马拉 微微特南果 天意庄园 帕尔湖","premium","危地马拉","橙汁、香瓜、奶油糖果，根汁汽水，柑橘，口感平衡柔和，圆润顺滑。","Finca La Providencia","2023","83.0","83.0","False","SHB","1550M","860g/l","水洗处理","Bourbon, Catuai, Caturra，Mundo Novo"
"S18","危地马拉 纯正安提瓜 极硬豆","premium","危地马拉","百香果，可可，奶油，红糖，口感细腻柔和，非常醇厚。","Antigua","2023","73.0","73.0","False","SHB","1500‒1700M","848g/l","水洗处理","Bourbon， Caturra"
"S18-1","危地马拉 安提瓜 拉米尼塔 花神","premium","危地马拉","独有的花香气息结合柔顺清新的柑橘滋味，让花香与水果甜香交织出个性十足却又完美和谐，核果，可可，酸质圆润，BODY细致。","Antigua/拉米尼塔","2023","102.0","102.0","False","SHB","1200‒1600M","836g/l","水洗处理","卡杜拉、卡杜艾、波旁"
"E-1","埃塞俄比亚 西达摩 G4 日晒","common","埃塞俄比亚","花香，热带水果，坚果，甘甜，香醇。","Sidamo","2024","55.0","46.0","False","G4","1950-2000M","903g/l","日晒处理","Heirloom"
"E-2","埃塞俄比亚 西达摩 G4 TOP精品 日晒 (内袋超低瑕疵)","common","埃塞俄比亚","柠檬，柑橘，成熟水果调，可可，香醇，干净。","SIDAMO","2023","65.0","56.0","False","G4","1500-2000M","842g/l","日晒处理","Heirloom"
"E-3","埃塞俄比亚 耶加 Aricha G3 日晒（内袋）","common","埃塞俄比亚","热带水果香气，草莓干，榛果，醇厚度饱满.","Yirgacheffe/Aricha处理厂","2023","68.0","60.0","False","G3","1750-2100M","869g/l","日晒处理","Heirloom"
"E-4","埃塞俄比亚 西达摩 古齐 G2 日晒","common","埃塞俄比亚","柑橘，柠檬，水果香气，榛果，BODY醇厚。","SIDAMO","2023","71.0","65.0","False","G2","1900-2000M","905g/l","日晒处理","Heirloom"
"E-5","埃塞俄比亚 班其玛吉 G3 日晒","common","埃塞俄比亚","柑橘，柚子等丰富浓郁的水果风味，成熟果实的甜感。","Bench Maji","2023","72.0","62.0","False","G3","1600M","903g/l","日晒处理","GEISHA"
"E-6","埃塞俄比亚 西达摩G2 精选 水洗（ TESTI）","common","埃塞俄比亚","玫瑰花香，柠檬，柑橘，莓果，小番茄，均衡润滑,口感干净。","SIDAMO/BENSA BOMBE","2024","74.0","68.0","False","G2","1950-2150M","862g/l","水洗处理","74110&74158"
"E-7","埃塞俄比亚 耶加雪菲 G2 水洗(2023产季)","common","埃塞俄比亚","花香，柠檬，柑橘，酸度柔和,口感干净。","耶加雪菲","2023","68.0","58.0","False","G2","1950-2000M","872g/l","水洗处理","Kurume variety"
"E-9","埃塞俄比亚 耶加雪菲 G2 精选 水洗 (TESTI)","common","埃塞俄比亚","茉莉花香，柠檬,柑橘，热带水果,口感干净。","ARICHA/ TESTI ADORSI WASHING STATION","2024","74.0","68.0","False","G2","2150-2250M","865g/l","水洗处理","Kurume variety"
"E-10","埃塞俄比亚 耶加雪菲 精选 Kore G2 水洗（2023产季）","common","埃塞俄比亚","花香，柠檬，柑橘，甜度佳，口感滑顺,干净。","耶加雪菲","2023","78.0","70.0","False","G2","1800-2000M","876g/l","水洗处理","Heirloom"
"E-11","埃塞俄比亚 利姆 G2 水洗（超低瑕疵）","common","埃塞俄比亚","柑橘，柠檬，香草，黑糖，口感滑顺，非常干净","利姆 庄 园 ： WATICHO GERAME","2023","72.0","65.0","False","G2","1900-2400M","899g/l","水洗处理","Heirloom"
