"code","name","type","country","flavor_profile","flavor_category","origin","harvest_season","price_per_kg","price_per_pkg","sold_out","grade","altitude","density","processing_method","variety","humidity","plot","estate"
"E-7","埃塞俄比亚 西达摩 古齐G2 精品水洗","common","埃塞俄比亚","柑橘，柠檬，茉莉花香，口感干净，果汁感。","花香茶感型","SIDAMO/GUJI","2025","85.0","76.0","False","G2","1700-2000M","865g/l","水洗处理","Heirloom","10.8%","",""
"E-8","埃塞俄比亚 耶加雪菲 G2 水洗","common","埃塞俄比亚","花香，柠檬，柑橘，酸度柔和，口感干净。","花香茶感型","YIRGACHEFFE","2025","86.0","77.0","False","G2","1950-2000M","860g/l","水洗处理","Heirloom","11.2%","",""
"E-9","埃塞俄比亚 卡法 G2 水洗","common","埃塞俄比亚","橙子，李子， 柑橘酸，青柠， 绿茶尾韵。","明亮果酸型","卡法森林","2025","","","True","G2","1800M","843g/l","水洗处理","Heirloom","11.0%","",""
"E-11","埃塞俄比亚 利姆 水洗 UG","common","埃塞俄比亚","柠檬，柑橘，枫糖，奶油，风味干净。","明亮果酸型","LIMU","2025","70.0","61.0","False","UG","1850-2000M","836g/l","水洗处理","Heirloom","10.9%","",""
"S33-5","肯尼亚 涅里 鲁木齐亚合作社AA 微批次","premium","肯尼亚","乌梅，圣女果，柑橘，黑醋粟，风味干净。","明亮果酸型","涅里/Rumukia Farmer Co-Operative Society","2025","130.0","120.0","False","AA","1850M","884g/l","72小时水洗","SL28，SL34","10.9%","",""
"S33-6","肯尼亚 涅里 超级玛蒂 AB","premium","肯尼亚","绿茶，柑橘，红糖，水果甜，高级抹茶。","花香茶感型","涅里/RUSHAKA FCS","2025","150.0","138.0","False","AB","1880-1970M","870g/l","水洗处理","SL28","11.0%","",""
"S34","肯尼亚 基里尼亚加 多门处理厂 AA","premium","肯尼亚","白色花香，莓果，酸质明亮，口感干净。","明亮果酸型","","2024","102.0","93.0","False","AA","1700-2200M","875g/l","水洗处理","SL28，SL34","10.9%","","Kirinyaga/Dormans处理厂"
"G2","空运红标批次041 埃塞俄比亚 瑰夏村","premium","埃塞俄比亚","水蜜桃，甜杏，柑橘，回味持久。","均衡圆润型","","2024","365.0","345.0","False","G1","1916--1982M","912g/l","日晒处理","Illubabor Forest","11.3%","Gaylee 地块",""
"G2-4","埃塞俄比亚 瑰夏村 Illubabor Forest","premium","埃塞俄比亚","花香，果酱，橘子，热带水果风味，甜瓜，高甜，丰富多变的滋味。","果汁感热带水果型","","2023","300.0","300.0","False","G1","1966--2019M","867g/l","日晒处理","Illubabor Gesha","11.3%","Dimma地块",""
"G2-7","埃塞俄比亚 瑰夏村 Gori Gesha","premium","埃塞俄比亚","草莓，葡萄，芒果，果糖甜。","果汁感热带水果型","","2024","355.0","345.0","False","G1","1911—2001M","870g/l","蜜处理","Gori Gesha","10.4%","Bangi地块",""
"G3","埃塞俄比亚 瑰夏村 Gori Gesha","premium","埃塞俄比亚","柑橘，杏桃，水蜜桃，高甜度，风味干净，顺滑。","均衡圆润型","","2024","235.0","220.0","False","G1","1973--2069M","860g/l","日晒处理","Gori Gesha","10.8%","shewa-jibabu地块",""
"G3-1","埃塞俄比亚 瑰夏村 瑰夏种 日晒处理（查卡）","premium","埃塞俄比亚","茉莉花香，荔枝，苹果，果汁感，砂糖甜感足。","花香茶感型","","2024","178.0","168.0","False","G1","1911—2069M","850g/l","日晒处理","瑰夏种","11.4 %","",""
"G3-2","埃塞俄比亚 圣塔维尼 水洗 2025TOH第2名","premium","埃塞俄比亚","茉莉花，柑橘，浆果，热带水果。","花香茶感型","SIDAMO/Shantawane/ES COFFEE","2025","200.0","185.0","False","G1","1900-2200M","889g/l","水洗处理","Heirloom","10.4%","",""
"G3-3","埃塞俄比亚 古吉 罕贝拉 2025TOH日晒第2名","premium","埃塞俄比亚","玫瑰花，荔枝，芭乐，杏桃。","花香茶感型","Guji Hambella Wamena 处理站","2025","150.0","142.0","False","G1","2150-2300M","873g/l","日晒处理","Dega，Kurum i","10.6%","",""
"X5-4","埃塞俄比亚 西达摩 朵望丘 红蜜 2025TOH第3名","premium","埃塞俄比亚","金桔汁，柠檬，优雅花香,黄糖，柚子茶。","明亮果酸型","","2025","305.0","293.0","False","G1","2240-2390M","886g/l","红蜜处理","74158","10.3%","","西达摩-Arbegona Aklilu阿奇努批次"
"G4S","埃塞俄比亚 西达摩 卡拉茉 2024TOH日晒冠军批次","premium","埃塞俄比亚","红心芭乐，芒果，黄桃，葡萄干。","果汁感热带水果型","Sidama Bura Keramo","2024","470.0","470.0","False","G1（竞赛级精品）","2000 - 2300M","905g/l","日晒处理","74110/74158","10.7%","",""
"G4-1","埃塞俄比亚 2024 TOH3 水洗","premium","埃塞俄比亚","柠檬，柑橘，莓果，樱桃，黄糖，绿茶茶感。","明亮果酸型","","2024","115.0","105.0","False","G1","1943M","880g/l","水洗处理","kurume","12.4%","",""
"G4-2","埃塞俄比亚 2024 TOH6 瑰夏 水洗","premium","埃塞俄比亚","花香，柑橘，桃子，蜂蜜，绿茶，高甜感，口感干净顺滑。","花香茶感型","Bench Maji/ Kebir","2024","153.0","143.0","False","G1（竞赛级精品）","1900M+","861g/l","水洗处理","GEISHA","13.3%","",""
"G4-3","埃塞俄比亚 西达摩 班莎 Alo","premium","埃塞俄比亚","木槿花，水果酒，草莓，树莓，酸质活泼，风味丰富。","酒香发酵型","西达摩 班莎","2024","290.0","290.0","False","G1","2300M+","885g/l","果皮浸渍厌氧（Mosto）","74158","10.7%","",""
"G4-5","2024空运批次 埃塞俄比亚 古齐 Kebir梨桃花","premium","埃塞俄比亚","花香，水蜜桃，柠檬，红茶，甜感好。","花香茶感型","GUJI/Uraga Tebe Haro","2024","162.0","152.0","False","G1","1920 - 2250M","897g/l","日晒处理","74112","11.7%","",""
"G4-6","空运批次 埃塞俄比亚 Alo 日晒 蓝色波","premium","埃塞俄比亚","百香果，柑橘，香橙，花香，可可。","果汁感热带水果型","Sidama Nensebo","2025","145.0","136.0","False","G1","2300M+","860g/l","传统日晒后干燥12-14天","74158","11.1%","",""
"G4-7","埃塞俄比亚 西达摩 Keramo Morke 日晒","premium","埃塞俄比亚","花香，柑橘，甜杏，芒果，樱桃，热带水果，甜感很好，香气浓郁。","果汁感热带水果型","西达摩 / Bura Morke","2025","188.0","178.0","False","G1","2360-2540M","879g/l","日晒处理","74158","10.6%","",""
"G4-8","埃塞俄比亚 西达摩 Keramo Faficho 日晒","premium","埃塞俄比亚","花香，柑橘， 草莓， 芒果， 樱桃， 黄糖，红茶。","果汁感热带水果型","西达摩 / Bura Faficho","2025","155.0","145.0","False","G1","2400M","880g/l","日晒处理","74158","10.7%","",""
"X1-1","埃塞俄比亚 歌迪贝 切切里 G1日晒","premium","埃塞俄比亚","花香，草莓，水蜜桃，蔓越莓，水果糖，蜂蜜，绿茶，口感顺滑。","花香茶感型","CHELCHELE/GEDEB","2025","140.0","128.0","False","G1","1950-2200M","870g/l","日晒处理","Heirloom","10.8%","",""
"X1-2","埃塞俄比亚 班可 果丁丁G1 日晒","premium","埃塞俄比亚","茉莉花，柑橘，莓果，甜杏桃，果汁感。","花香茶感型","Banko Gotiti, Gedeb","2025","130.0","120.0","False","G1","1950-2150M","872g/l","日晒处理","74110,Heirloom","10.7%","",""
"X1-4","埃塞俄比亚 耶加雪菲 阿达朵 日晒","premium","埃塞俄比亚","花香，热带水果，葡萄，石榴汁，柠檬，西柚，咖啡花，口感柔和顺滑。","果汁感热带水果型","Adado处理厂","2024","105.0","95.0","False","G1","2000-2400M","860g/l","日晒处理","Heirloom","11.7%","",""
"X1-5","埃塞俄比亚 耶加雪菲 树上干果日晒 G1","premium","埃塞俄比亚","玫瑰花，茉莉花香，柠檬，红酒，红茶，甜度很高。","花香茶感型","GERSE/MPC","2025","180.0","170.0","False","G1","1900--2200M","857g/l","树上干果日晒","Heirloom","10.3%","",""
"X1-6","埃塞俄比亚 耶加雪菲 沃特 孔加 日晒","premium","埃塞俄比亚","茉莉花香，热带水果，波萝蜜，蓝莓，草莓果酱，口感很干净。","果汁感热带水果型","Konga 附近的小咖啡种植户","2025","117.0","108.0","False","G1","1850-2050M","890g/l","日晒处理","Heirloom","11.5%","",""
"X2-1","埃塞俄比亚 耶加雪菲 阿朵斯 阿瑞查 日晒","premium","埃塞俄比亚","紫色葡萄，成熟凤梨，蓝莓，草莓，花香，余韵持久。","果汁感热带水果型","阿瑞查/ Testi Adorsi Washing Station","2025","128.0","118.0","False","G1","2150-2250M","873g/l","日晒处理","74110","11.3%","",""
"X2-2","埃塞俄比亚 耶加雪菲 伊迪朵 全红果 日晒","premium","埃塞俄比亚","蔓越莓，柑橘，佛手柑，热带果汁,甜感好。","明亮果酸型","Idido","2025","120.0","105.0","False","G1","1900-2200M","849g/l","日晒处理","74158","10.8%","",""
"X2-3","埃塞俄比亚 耶加雪菲 红樱桃 日晒 G1","premium","埃塞俄比亚","凤梨，柑橘，葡萄，焦糖，果汁感。","果汁感热带水果型","Yirgacheffe","2023","115.0","105.0","False","G1","2200-2300M","886g/l","日晒处理","Heirloom","11.1%","",""
"X2-4","埃塞俄比亚 圣塔维尼 红樱桃计划 G1 日晒","premium","埃塞俄比亚","凤梨，蓝莓，甜橙，枫糖。","果汁感热带水果型","DWD 圣塔维尼处理站","2023","126.0","116.0","False","G1","2050M","884g/l","全红果日晒","74158","12.5%","",""
"X2-5","埃塞俄比亚 班莎 圣塔维尼 G1 全红果 日晒","premium","埃塞俄比亚","葡萄，荔枝，凤梨，热带水果，红茶，高甜度。","果汁感热带水果型","Bensa/Shantawene/Ayla处理站","2025","128.0","118.0","False","G1","2050M","887g/l","全红果日晒","74158","10.9%","",""
"X3","埃塞俄比亚 耶加雪菲 阿瑞查 阿朵斯处理厂","premium","埃塞俄比亚","番石榴，波萝蜜，杨桃，紫葡萄，黑醋粟，肉桂，白兰地.","酒香发酵型","阿瑞查/Adorsi处理厂","2023","215.0","230.0","False","G1","1950-2100M","858g/l","厌氧日晒(22天日晒)","Heirloom","11.7%","",""
"S27-10","哥伦比亚 泉水庄园 瑰夏 水洗","premium","哥伦比亚","茉莉花，蜜橘，枫糖，葡萄柚，饱满精致。","花香茶感型","慧兰 HUILA","2023","290.0","","False","supremo","1750M+","834g/l","精致水洗处理","GEISHA","11.5%","",""
"S27-10S","哥伦比亚 漫步庄园 瑰夏 半水洗","premium","哥伦比亚","橙子，橘子，花香和柠檬草，红糖，带有茉莉花、松树和柠檬草的香气，香气浓郁，口感柔滑。","花香茶感型","娜玲珑/ Finca El Paseo","2025","200.0","","False","supremo","1800M+","842g/l","半水洗处理","GEISHA","11.5%","",""
"S27-11","哥伦比亚 独木舟庄园 瑰夏 蜜处理","premium","哥伦比亚","花香，芒果，红莓，蜂蜜茶，饱满多汁。","花香茶感型","HUILA","2023","360.0","","False","Supremo","1800+M","833g/l","蜜处理","Gesha瑰夏","11.0%","","独木舟庄园 LA PIRAGUA"
"S28","哥伦比亚 希望庄园 瑰夏 厌氧水洗","premium","哥伦比亚","茉莉花，柑橘，莓果，蔗糖，柠檬草香气 ，整体风味细致优雅。","花香茶感型","托利马","2024","360.0","","False","Supremo","1800M","819g/l","厌氧水洗处理","100%Geisha","11.4%","","La Esperanza庄园"
"S28-1","哥伦比亚 阿尔代庄园 瑰夏 水洗","premium","哥伦比亚","紫色花香浓郁， 柠檬草， 椰子片， 绿茶尾韵。","花香茶感型","慧兰Huila","2023","350.0","","False","Supremo","1860M+","885g/l","水洗处理","瑰夏Geisha","11.3%","","Finca La Aldea"
"S28-2","哥伦比亚 红宝石庄园 瑰夏 日晒","premium","哥伦比亚","突出的茉莉花香、甜橙、柑橘、杏桃、红色成熟水果、薄荷味。","花香茶感型","慧兰Huila","2023","280.0","","False","Supremo","1700-1800M","880g/l","日晒处理","瑰夏Geisha","11.1%","","Finca El Rubi"
"S28-3","哥伦比亚 贝塔尼亚庄园 厌氧日晒 瑰夏","premium","哥伦比亚","葡萄干，可可，红苹果，红糖果味，带有朗姆酒、红苹果、香蕉和柔滑口感的果味饮料。","酒香发酵型","慧兰Huila","2025","250.0","","False","Supremo","1800M","837g/l","90小时厌氧发酵日晒处理","瑰夏Geisha","10.7%","","Finca Betania"
"S28-4","哥伦比亚 分界线庄园 瑰夏 水洗","premium","哥伦比亚","花香，红茶，柑橘，柠檬草，body厚实。","花香茶感型","慧兰Huila","2023","280.0","","False","Supremo","1800M","830g/l","水洗处理","瑰夏Geisha","12.6%","","Finca El Diviso"
"S28-5","哥伦比亚 分界线庄园 瑰夏 日晒","premium","哥伦比亚","玫瑰花、柑橘、桃子、冰葡萄、覆盆子、复合热带水果、利口酒、发酵感好、高甜度、干净度高。","果汁感热带水果型","慧兰Huila","2025","298.0","","False","Supremo","1800M","871g/l","日晒处理","瑰夏Geisha","10.4%","","Finca El Diviso"
"S28-6","哥伦比亚 分界线庄园 双重厌氧水洗 希爪","premium","哥伦比亚","花香，姜，黄色水果，橙子，薄荷，柠檬酸，酸质明亮，顺滑body。","明亮果酸型","慧兰Huila","2023","240.0","240.0","False","Supremo","1700M","846g/l","双重厌氧水洗处理","Sidra希爪","11.8%","","Finca El Diviso"
"S28-7","哥伦比亚 分界线庄园 双重发酵日晒 希爪","premium","哥伦比亚","花香，热带水果，荔枝，百香果，木瓜，顺滑body，回甘甜。","果汁感热带水果型","慧兰Huila","2025","268.0","268.0","True","Supremo","1700M","852g/l","双重发酵日晒处理","Sidra希爪","11.3%","","Finca El Diviso"
"S28-8","哥伦比亚 分界线庄园 辣椒波旁 厌氧日晒","premium","哥伦比亚","西瓜、覆盆子、葡萄、杏桃、香水梨、红酒、玫瑰、醇厚、甜度佳。","酒香发酵型","慧兰Huila","2025","298.0","298.0","False","Supremo","1750-1850M","836g/l","厌氧日晒","Aji Bourbon","11.3%","","Finca El Diviso"
"S28-9","哥伦比亚 分界线庄园 大肚脐 双重发酵日晒","premium","哥伦比亚","红樱桃、葡萄、黄桃、血橙、玫瑰花香、葡萄酒、利口酒、发酵自然清新，果汁感丰富。","酒香发酵型","慧兰Huila","2025","330.0","330.0","False","Supremo","1700M","816g/l","双重发酵日晒","Ombligon","11.4%","","Finca El Diviso"
"S29","哥伦比亚 甄选庄园 尖身波旁 天然低因","premium","哥伦比亚","黄色水果、柑橘、红色水果和甘草；啜吸有木瓜、橙子和菠萝的味道，干净，令人愉快的余韵，柑橘甜，柔和酸度和中等醇厚度。","果汁感热带水果型","托利马","2025","590.0","","False","Supremo","1780M","g/l","日晒处理","尖身波旁天然低因","%","","La Reserva甄选庄园"
"S29-1","哥伦比亚 天堂庄园 Delagua 厌氧日晒","premium","哥伦比亚","养乐多、红糖、葡萄、菠萝干、蔗糖、青茶。","均衡圆润型","Sierra Nevada","2023","120.0","120.0","False","Supremo","2000M","883g/l","厌氧日晒","Castillo","11.1%","",""
"S30-4","哥伦比亚 圣荷西庄园 兰姆酒桶发酵 水洗","premium","哥伦比亚","兰姆酒，麝香葡萄，樱桃，核果，酒香巧克力，莱姆香气, 酸值明亮带花香, 口感绵密转甜。","酒香发酵型","Caldas/Finca San Jose Estate","2024","360.0","","False","Supremo","1750M","842g/l","水洗法（兰姆酒桶发酵）","Castillo","11.2%","",""
"S30-9","哥伦比亚 金迪欧 苏利亚庄园 柑橘日晒","premium","哥伦比亚","柳橙，菠萝，奇异果，红糖。","果汁感热带水果型","苏利亚庄园/Quindio金迪欧","2023","190.0","190.0","False","Supremo","1700-1850M","890g/l","橘子日晒","卡斯提优","10.8%","",""
"S31-4","哥伦比亚 蒙特布兰克庄园 紫卡杜拉 薄荷水洗","premium","哥伦比亚","薄荷巧克力、香蕉清冰、肉桂、冰糖。","巧克力坚果调型","Monteblanco/HUILA","2023","195.0","195.0","False","supremo","1700-1850M","829g/l","薄荷水洗处理","紫卡杜拉","12.2%","",""
"S32-4","花月夜. 哥伦比亚 慧兰 艾斯维多加汀庄园 厌氧日晒","premium","哥伦比亚","菠萝、芒果、 荔枝、 哈密瓜","果汁感热带水果型","HUILA","2024","195.0","195.0","False","Supremo","1800m","863g/l","厌氧日晒处理","Caturra/卡杜拉","13.5%","",""
"S32-5","玫瑰谷. 哥伦比亚 大树庄园 双重厌氧水洗","premium","哥伦比亚","草莓酱、水蜜桃、香蕉、蜜瓜。","果汁感热带水果型","Santander","2025","195.0","195.0","False","Supremo","1700m","865g/l","双重厌氧水洗","Caturra/卡杜拉","12.5%","",""
"S32-6","哥伦比亚 微风庄园 瑰夏 水洗","premium","哥伦比亚","白桃，杏仁，茶感，花香，蓝莓。","均衡圆润型","慧兰","2025","230.0","230.0","False","Supremo","1800M","839g/l","水洗处理","Geisha瑰夏","11.7%","","Finca Las Brisas"
"S32-7","哥伦比亚 微风庄园 苏丹如梅 日晒","premium","哥伦比亚","红色水果，香草和焦糖，啜吸带有甜瓜和木瓜的味道，尾韵有芒果和猕猴桃的香气，苹果酸度，多汁的口感。","均衡圆润型","慧兰","2025","336.0","336.0","False","Supremo","1800M","830g/l","日晒处理","苏丹如梅（Sudan Rume）","11.8%","","Finca Las Brisas"
"S32-8","哥伦比亚 牧羊人庄园 粉红波旁 水洗","premium","哥伦比亚","青柠，苹果，葡萄，蜂蜜，焦糖，口感细腻，令人愉悦的柑橘余韵，多汁的口感。","均衡圆润型","HUILA","2025","160.0","160.0","False","Supremo","1700-1750M","g/l","水洗处理","粉红波旁","%","","Finca Pastora"
"S33","哥伦比亚 鲜花庄园 厌氧水洗 粉红波旁","premium","哥伦比亚","花香，血橙，莓果多汁，中等body。","明亮果酸型","HUILA","2024","210.0","210.0","False","Supremo","1900+M","904g/l","厌氧水洗","粉红波旁","11.2%","","鲜花庄园/Las Flores"
"S33-1A","哥伦比亚 鲜花庄园 奇洛索 厌氧日晒","premium","哥伦比亚","芒果，菠萝蜜，草莓，热带果汁。","果汁感热带水果型","慧兰HUILA","2025","300.0","300.0","False","Supremo","1900+M","826g/l","厌氧日晒处理","奇洛索/Chiroso","11.4%","","鲜花庄园/Las Flores"
"S33-1","哥伦比亚 慧兰 巴塔尼亚庄园 奇罗索 水洗","premium","哥伦比亚","花香，橙子，茴香香草，带有焦糖、巧克力和橘子的香气，花香和李子的余韵，口感干净丝滑。","均衡圆润型","慧兰","2025","210.0","210.0","False","Supremo","1800M","882g/l","双重发酵水洗","奇洛索/Chiroso","11.0%","","Finca Betania"
"S33-2","哥伦比亚 心动庄园 辣椒波旁 水洗","premium","哥伦比亚","茉莉花香，葡萄柚，蓝莓，甜橙，轻香料，干净，酸质柔和。","花香茶感型","慧兰","2025","205.0","205.0","False","Supremo","1800M","868g/l","半水洗发酵","辣椒波旁/Bourbon Ají","11.1%","","FINCA PLOP"
"S33-3","肯尼亚 涅里 日晒","premium","肯尼亚","紫色花香，蔓越莓，山楂，樱桃，果汁感。","明亮果酸型","涅里/Kilombe Farm","2025","143.0","143.0","False","AA","1800M+","874g/l","日晒处理","SL28，SL34","10.6%","",""
"S33-3A","肯尼亚 涅里 阿古辛 厌氧日晒","premium","肯尼亚","红酒，莓果，李子，甜瓜。","酒香发酵型","涅里/RUSHAKA FCS","2024","120.0","120.0","False","AA","1650-1800M","870g/l","厌氧日晒","SL28，SL34","11.5%","",""
"S33-4","肯尼亚 涅里 鲁沙卡 AA 微批次","premium","肯尼亚","莓果、柑橘的明亮酸度；伴随红糖、果茶的尾韵，口感饱满。","明亮果酸型","涅里/RUSHAKA FCS","2025","135.0","135.0","False","AA","1770-1900M","845g/l","水洗处理","SL28，SL34","10.7%","",""
"S21-5","巴拿马 波奎特 艾尔维拉庄园 瑰夏 蓝标 水洗","premium","巴拿马","茉莉花香，柑橘，橙子，苹果，柠檬茶。","花香茶感型","Boquete/Elvira Estate","2024","500.0","","False","SHB","1550-1850M","854g/l","水洗处理","Geisha","10.3%","印帝安地块",""
"S21-6A","巴拿马 玛玛卡特庄园 瑰夏 蓝标 水洗","premium","巴拿马","迷人的花茶、茉莉花香，蜂蜜与柑橘香气，有清新活泼的柠檬酸，入口纯净甘甜，醇厚丝滑，层次分明，让人陶醉。","花香茶感型","巴拿马波奎特","2024","380.0","","False","SHB","1675-1700M","836g/l","水洗处理","Geisha","10.1%","",""
"S21-7","巴拿马 玛玛卡特庄园 瑰夏 蓝标 厌氧日晒","premium","巴拿马","紫葡萄， 红糖，凤梨， 桃子，橘子糖。","果汁感热带水果型","巴拿马波奎特","2023","350.0","","False","SHB","1675-1700M","862g/l","厌氧日晒","Geisha","10.9%","",""
"S22","巴拿马 科特瓦女巫庄园 瑰夏 日晒","premium","巴拿马","葡萄干，紅酒，胡椒，蜜饯，加州李子。","酒香发酵型","巴拿马波奎特","2024","568.0","","False","SHB","1700M","850g/l","日晒处理","Geisha","10.9%","",""
"S22-4","巴拿马 卡萨路易斯庄园 瑰夏 日晒","premium","巴拿马","茉莉花，水蜜桃，佛手柑，凤梨，莓果。","花香茶感型","Boquete","2023","560.0","","False","SHB","1700M","843g/l","日晒处理","Geisha","10.8%","","Finca Casa Ruiz"
"S22-5","巴拿马 90+ Volcan Valley 瑰夏","premium","巴拿马","樱桃，西梅，覆盆子，米酒。","酒香发酵型","Ninety Plus","2023","395.0","","False","SHB","1500-1700M","875g/l","90+处理法","Geisha","10.9%","",""
"S22-7A","巴拿马 维纳斯 小农 瑰夏 蓝标 日晒","premium","巴拿马","茉莉花、柑橘、葡萄柚、水蜜桃，蜂蜜。","花香茶感型","波奎特","2025","380.0","","True","SHB","1700-1800M","882g/l","日晒处理","Geisha","10.6%","",""
"S22-7","巴拿马 维纳斯 小农 瑰夏 蓝标 水洗","premium","巴拿马","茉莉花、柑橘、葡萄柚、牛奶糖、蜂蜜、香水柠檬，入口纯净甘甜，醇厚丝滑，层次分明，让人陶醉。","花香茶感型","波奎特","2024","380.0","360.0","False","SHB","1700-1800M","865g/l","水洗处理","Geisha","11.0%","",""
"S22-8A","巴拿马 波奎特 花蝴蝶70%瑰夏 水洗","premium","巴拿马","花香、佛手柑、蜂蜜、柑橘、莓果、茶香、樱桃，果汁甜，酸细致不刺激，干净度佳，余韵细腻，香气持久，经典翡翠庄园Geisha风味。","花香茶感型","Boquete","2024","170.0","160.0","False","SHB","1400-1700M","865g/l","水洗处理","70%Geisha, Catuai,caturra","12.5%","",""
"S22-8","巴拿马 波奎特 花蝴蝶70%瑰夏 厌氧日晒","premium","巴拿马","花香，柑橘，苹果，李子与热带水果风味，香瓜甜感，尾韵带出淡淡红茶香气。","花香茶感型","Boquete","2024","245.0","235.0","False","SHB","1600-1700M","860g/l","厌氧日晒处理","70%Geisha, Catuai,caturra","10.9%","",""
"S23","巴拿马 卡门庄园 卡杜拉 日晒","premium","巴拿马","樱桃，苹果，莓果，红茶，蜂蜜，甜感好，口感干净。","明亮果酸型","巴鲁火山/卡门庄园","2024","112.0","100.0","False","SHB","1550-2000M","864g/l","日晒处理","卡杜拉","9.8%","",""
"S23-1","巴拿马 卡门庄园 卡杜拉 水洗","premium","巴拿马","柑橘，蜜桃，热带水果，蜂蜜，甜感好，口感干净。","果汁感热带水果型","巴鲁火山/卡门庄园","2024","110.0","98.0","False","SHB","1550-2000M","833g/l","水洗处理","卡杜拉","10.4%","",""
"S24","卢旺达 基加利 水洗","premium","卢旺达","凤梨，葡萄柚，柑橘，茶感尾韵。","明亮果酸型","Kigal","2024","105.0","95.0","False","A","1650-1900M","885g/l","水洗处理","Bourbon，Typica","10.8%","",""
"S45","坦桑尼亚 阿鲁沙庄园 小红莓 AB 精品","premium","坦桑尼亚","莓果、红色水果、红茶、轻红酒感、柔酸。","酒香发酵型","Arusha/梅鲁火山","2023","90.0","81.0","True","AB","1800M","790g/l","水洗处理","Bourbon","11.4%","",""
"S25","墨西哥 法帝玛庄园 日晒","premium","墨西哥","百香果，凤梨，枫糖，葡萄干，蜂蜜。","果汁感热带水果型","Veracruz/Coatepec","2023","195.0","185.0","True","SHG","1500-1650M","883g/l","日晒处理","Marsellesa","10.8%","",""
