"name","type","country","flavor_profile","origin","harvest_season","code","price_per_kg","price_per_pkg","grade","altitude","density","processing_method","variety"
"埃塞俄比亚 瑰夏村 Gori Gesha 红标批次018 水洗","premium","埃塞俄比亚","茉莉花 柠檬 橙子 橘子 风味清新 口感干净","Bangi地块","2023","G2-6","115.0","3150.0","G1","1911—2001M","881g/l","水洗处理","Gori Gesha"
"埃塞俄比亚 西达摩 卡拉茉 2024TOH日晒冠军批次","premium","埃塞俄比亚","红心芭乐 芒果 黄桃 葡萄干","Sidama Bura Keramo","2024","G4S","470.0","14100.0","G1","2000 - 2300M","905g/l","日晒处理","74110/74158"
"埃塞俄比亚 古齐 G1日晒 精品","premium","埃塞俄比亚","柑橘 杏桃 茉莉花 成熟水果 红茶","SIDAMO GUJI","2022","X1-2","81.0","4320.0","G1","2000-2200M","820g/l","日晒处理","Heirloom"
"埃塞俄比亚 耶加雪菲 歌迪欧 日晒 G1","premium","埃塞俄比亚","柑橘 甜杏桃 荔枝 西柚 茉莉花香 丰富果汁 红酒","Gedeo","2023","X1-1","74.0","3960.0","G1","1900M","832g/l","日晒处理","Heirloom"
"埃塞俄比亚 古齐 Kebir梨桃花 （2023TOH日晒冠军）","premium","埃塞俄比亚","花香 水蜜桃 柠檬 红茶 甜感好","GUJI/Uraga Tebe Haro","2024","G4-5","180.0","5100.0","G1","1920 - 2250M","897g/l","日晒处理","74112"
"埃塞俄比亚 2024 TOH6 瑰夏 水洗","premium","埃塞俄比亚","花香 柑橘 桃子 蜂蜜 绿茶 高甜感 口感干净顺滑","Bench Maji/ Kebir","2024","G4-2","153.0","4290.0","G1","1650M","861g/l","水洗处理","GEISHA"
"埃塞俄比亚 歌迪贝 果丁丁 日晒 G1","premium","埃塞俄比亚","茉莉花 水蜜桃 柑橘 果汁 绿茶","Gotiti Gedeb","2024","X1-3","122.0","3360.0","G1","1900-2100M","880g/l","日晒处理","Heirloom"
"埃塞俄比亚 耶加雪菲 阿达朵 日晒","premium","埃塞俄比亚","花香 热带水果 葡萄 石榴汁 柠檬 西柚 咖啡花 口感柔和顺滑","Adado处理厂","2024","X1-4","110.0","3000.0","G1","2000-2400M","860g/l","日晒处理","Heirloom"
"埃塞俄比亚 耶加雪菲 沃特 孔加 日晒","premium","埃塞俄比亚","茉莉花香 热带水果 波萝蜜 蓝莓 草莓果酱 口感很干净","Konga 附近的小咖啡种植户","2023","X1-6","100.0","2700.0","G1","1850-2050M","890g/l","日晒处理","Heirloom"
"埃塞俄比亚 西达摩 班莎 Alo 果皮浸渍厌氧日晒 微批次","premium","埃塞俄比亚","木槿花 水果酒 草莓 树莓 酸质活泼 风味丰富","西达摩 班莎 Alo main station","2024","G4-3","290.0","8700.0","G1","2300M+","885g/l","果皮浸渍厌氧 （Mosto）","74158"
"埃塞俄比亚 西达摩 班莎 Fafcho村 Alo 蜜处理G1(空运批次)","premium","埃塞俄比亚","小红莓 葡萄 红色花香 甜橙干 圆润红茶 蜜饯甜感 甜度高且扎实","西达摩 班莎 Alo main station","2024","G4-4","350.0","10500.0","G1","2280M+","880g/l","蜜处理","74158"
"埃塞俄比亚 耶加雪菲 库克 日晒 G1","premium","埃塞俄比亚","橘子 橙花香气 水果糖 花香 茶感尾韵 甜感佳 口感干净","Yirgacheﬀe KOKE SHALAYE","2023","X2-2","96.0","2580.0","G1","1973M","870g/l","日晒处理","74110、74112、74165"
"埃塞俄比亚 科切尔 牧羊人G1 厌氧日晒","premium","埃塞俄比亚","葡萄 成熟菠萝 百香果酱 柑橘 白花","Kochere","2023","X4-1","160.0","4500.0","G1","1800-2200M","873g/l","厌氧日晒处理","Heirloom"
"埃塞俄比亚 古齐 罕贝拉 G1 厌氧日晒","premium","埃塞俄比亚","红酒 桂圆 柑橘 热带水果","GUJI/Hambela","2024","X4-2","135.0","3750.0","G1","2050M","823g/l","厌氧日晒处理","Kumie"
"埃塞俄比亚 圣塔维尼 红樱桃计划 G1 日晒","premium","埃塞俄比亚","凤梨 蓝莓 甜橙 枫糖","DWD 圣塔维尼处理站","2023","X2-4","140.0","3900.0","G1","2050M","884g/l","全红果日晒","74158"
"埃塞俄比亚 耶加雪菲 果丁丁 日晒 百香果浸渍处理法","premium","埃塞俄比亚","百香果 草莓 完全的果汁感 香气浓郁 口感干净","Banko Gotiti / Gedeb","2024","X4-3","145.0","4050.0","G1","1900-2200M","831g/l","百香果浸渍处理法","74158/74110"
"埃塞俄比亚 耶加雪菲 红樱桃 日晒 G1","premium","埃塞俄比亚","凤梨 柑橘 葡萄 焦糖 果汁感","Yirgacheﬀe","2023","X2-3","115.0","3150.0","G1","2200-2300M","886g/l","日晒处理","Heirloom"
"埃塞俄比亚 歌迪贝 切切里 G1日晒 10日冷冻处理法","premium","埃塞俄比亚","花香 草莓脆 水蜜桃 蔓越莓 水果糖 蜂蜜 高甜","CHELCHELE / GEDEB","2024","X4-4","145.0","4050.0","G1","1900-2200M","855g/l","10天冷冻处理法","Heirloom"
"埃塞俄比亚 耶加雪菲 阿瑞查 阿朵斯处理厂 厌氧日晒 （22天日晒） （2019 T .O.H冠军）","premium","埃塞俄比亚","番石榴 波萝蜜 杨桃 紫葡萄 黑醋粟 肉桂 白兰地","阿瑞查/Adorsi处理厂","2022","X3","215.0","6300.0","G1","1950-2100M","","厌氧日晒(22天日晒)","Heirloom"
"埃塞俄比亚 耶加雪菲 阿朵斯 阿瑞查G1 日晒","premium","埃塞俄比亚","紫色葡萄 成熟凤梨 蓝莓 草莓 花香 余韵持久","阿瑞查/ Testi Adorsi Washing Station","2024","X2-1","115.0","3150.0","G1","2150-2250M","873g/l","日晒处理","74110"
"埃塞俄比亚 耶加雪菲 莎克 红樱桃 红蜜处理 （MPC）","premium","埃塞俄比亚","柑橘 茉莉花香 水蜜桃 草莓 红色浆果","Sheka/MPC处理厂","2024","X5-3","145.0","4050.0","G1","2100-2200M","890g/l","红蜜处理","Heirloom"
"埃塞俄比亚 古齐G1 阿朵拉 红酒处理","premium","埃塞俄比亚","莓果 红花香气 热带水果 甜感佳 香槟 口感圆润","GUJI/Adola","2023","X6","130.0","3600.0","G1","1900-2200M","831g/l","红酒处理 （仿西蒙处理法）","Heirloom"
"埃塞俄比亚 瑰夏山 红酒日晒","premium","埃塞俄比亚","番石榴 柑橘 红色莓果 枫糖 高甜 香气浓郁 口感干净","Bench Maji Karmach 庄园","2024","X6-2","100.0","2850.0","G1","1900-2000M","820g/l","铁桶低温日晒处理","Geisha"
"埃塞俄比亚 西达摩G1 贝尔庄园 红酒日晒","premium","埃塞俄比亚","葡萄 莓果 红花香气 热带水果 甜感佳","SIDAMO Bale Mountain","2024","X6-1","130.0","3600.0","G1","2350M","853g/l","红酒日晒处理","74110"
"埃塞俄比亚 罕贝拉 布库Sayasa 超级日晒","premium","埃塞俄比亚","百香果 西柚 凤梨 热带水果 黑巧克力 高甜度","GUJI /Hambela","2024","X6-3","128.0","7080.0","G1","1900-2300M","885g/l","低温慢速日晒","Heirloom"
"埃塞俄比亚 班莎 圣塔维尼 G1 全红果 日晒","premium","埃塞俄比亚","葡萄 荔枝 凤梨 热带水果 红茶 甜度很好","Bensa/ Shantawene /Ayla处理站","2024","X7","115.0","3150.0","G1","2050M","883g/l","全红果日晒","74158"
"埃塞俄比亚 西达摩G1 阿贝果娜 日晒","premium","埃塞俄比亚","芒果 菠萝 荔枝 柑橘 苹果 热带水果风味 高甜度","Harbegona","2024","X7-1","110.0","3000.0","G1","1900-2300M","868g/l","日晒处理","74110"
"埃塞俄比亚 耶加雪菲 雪列图 酵母日晒","premium","埃塞俄比亚","热带水果 百香果 草莓 莓果 樱桃 葡萄 蜂蜜甜感 酒香 高甜 口感干净丰富","Chelelektu/Kochere","2022","X5-5","","","G1","1950-2150M","865g/l","酵母发酵日晒","Heirloom"
"埃塞俄比亚 西达摩 格拉纳庄园 G3 日晒","common","埃塞俄比亚","草莓 苹果 柠檬等浓烈的水果香气 成熟果实的甜感 清爽复杂的口感","GELANA","2024","E-3","70.0","","G3","1600M","825g/l","日晒处理","GEISHA"
"埃塞俄比亚 班其玛吉 G3 日晒","common","埃塞俄比亚","柑橘 柚子等丰富浓郁的水果风味 成熟果实的甜感","Bench Maji","2023","E-5","56.0","","G3","1600M","837g/l","日晒处理","GEISHA"
"埃塞俄比亚 西达摩 G4 日晒","common","埃塞俄比亚","花香 热带水果 坚果 甘甜 香醇","Sidamo","2024","E-1","50.0","","G4","1950-2000M","903g/l","日晒处理","Heirloom"
"埃塞俄比亚 西达摩G4 日晒 精选 （低瑕疵）","common","埃塞俄比亚","花香 黑巧克力 莓果 坚果 甘甜 香醇","Sidamo","2024","E-1A","52.0","","G4 精选","1950-2000M","887g/l","日晒处理","Heirloom"
"埃塞俄比亚 西达摩 KARAMO G3 日晒","common","埃塞俄比亚","花香 柑橘 水果香气 甜感好 BODY醇厚","BURA/AGENA/KARAMO","2024","E-3S","63.0","","G3","2000M+","855g/l","日晒处理","Heirloom"
"埃塞俄比亚 哈拉之星 G5日晒 （相当于G3品质）","common","埃塞俄比亚","传统的摩卡 巧克力 可可 红酒 水果香气饱满","HARAR MOUNTAIN","2024","E-2S","56.0","","G5","1900-2300M","857g/l","日晒处理","古早原生种"
"埃塞俄比亚 耶加 Aricha G3 日晒 （内袋）","common","埃塞俄比亚","热带水果香气 草莓干 榛果 醇厚度饱满","Yirgacheﬀe/Aricha处理厂","2024","E-4","60.0","","G3","1750-2100M","869g/l","日晒处理","Heirloom"
"埃塞俄比亚 吉玛 G4日晒 精选 （MPC 内袋低瑕疵）","common","埃塞俄比亚","茉莉花香 柑橘 成熟水果调 红葡萄酒 口感干净","Djimmah/MPC处理厂","2024","E-2A","57.0","","G4 （相当于普通G3等级）","1800M","863g/l","日晒处理","Heirloom"
"埃塞俄比亚 耶加雪菲 G2 精选 水洗","common","埃塞俄比亚","花香 佛手柑 柠檬 柑橘 酸度柔和 口感干净","耶加雪菲","2024","E-7","62.0","","G2","1950-2000M","871g/l","水洗处理","Heirloom"
"埃塞俄比亚 耶加雪菲 科切尔 G2 精选 水洗","common","埃塞俄比亚","橙花 青葡萄 柠檬及柑橘的综合体 口感干净","AYIRGACHEFFE KOCHERE","2024","E-9","","","G2","1800-2000M","855g/l","水洗处理","Heirloom"
"埃塞俄比亚 西达摩G2 精选 水洗 （内袋）","common","埃塞俄比亚","柑橘 花香 莓果 西柚 口感干净","SIDAMO","2024","E-6S","66.0","","G2","1700-2000M","865g/l","水洗处理","Heirloom"
"埃塞俄比亚 西达摩G2 水洗 （2023产季）","common","埃塞俄比亚","花香 柑橘 莓果 口感顺滑","SIDAMO","2023","E-6T","55.0","","G2","1700-2000M","872g/l","水洗处理","Heirloom"
"埃塞俄比亚 西达摩G2 日晒 精选 （超低瑕疵）","common","埃塞俄比亚","苹果 树莓 西梅 蜜橘 柠檬 黄油饼干 风味干净","SIDAMO","2024","E-6","72.0","","G2","1900-2100M","846g/l","日晒处理","74112 / 74158 / 74110"
"埃塞俄比亚 利姆 G2 水洗","common","埃塞俄比亚","柑橘 柠檬 香草 黑糖 口感滑顺 非常干净","利姆","2024","E-10","57.0","","G2","1900-2400M","854g/l","水洗处理","Heirloom"
"埃塞俄比亚 耶加雪菲 科切尔 G1 水洗","common","埃塞俄比亚","水蜜桃 柠檬 柑橘香 甜感好 酸质柔和","Kochere","2024","E-8","60.0","","G1","1900-2200M","868g/l","水洗处理","Heirloom"
"埃塞俄比亚 班其玛吉 瑰夏 日晒","premium","埃塞俄比亚","芒果 菠萝与柚子等丰富浓郁的水果风味 纯净的口感 花香尾韵","Bench Maji","2023","X10","95.0","2850.0","G1","1600M","910g/l","日晒处理","GEISHA"
"埃塞俄比亚 西达摩G1 花魁日晒","premium","埃塞俄比亚","玫瑰花香 热带水果 香气浓郁 高甜 百香果 水蜜桃 蓝莓 余韵悠长","GUJI/HAMBELA BUKU Abel处理厂","2023","X9-1","","","G1","2200-2350M","898g/l","日晒处理","Heirloom"
"埃塞俄比亚 ALO系列 西达摩 班莎 G1 日晒","premium","埃塞俄比亚","花香 黑巧克力 甘蔗 荔枝香气 高甜 口感圆润饱满","西达摩 Bansa","2023","X9-2","100.0","3000.0","G1","2080-2160M","898g/l","日晒处理","74158"
"埃塞俄比亚 戈里森林 南布尔沙庄园 瑰夏 日晒","premium","埃塞俄比亚","花香 甜杏桃 凤梨 莓果 风味干净 口感顺滑","Bench Maji/South Bursha Farm","2023","X9-5","105.0","3150.0","G1","1900-2100M","","日晒处理","GEISHA"
"埃塞俄比亚 西达摩G1 花魁日晒","premium","埃塞俄比亚","玫瑰花香 水蜜桃果味 草莓糖 荔枝 余韵悠长","GUJI/HAMBELA BUKU Abel处理厂","2024","X9","110.0","3300.0","G1","2200-2350M","885g/l","日晒处理","Heirloom"
"埃塞俄比亚 ALO定制系列 罕贝拉 花魁 日晒","premium","埃塞俄比亚","红色花香 水蜜桃 柑橘 水果糖 佛手柑","GUJI/HAMBELA","2024","X8-1","108.0","6480.0","G1","2200-2350M","883g/l","日晒处理","Heirloom"
"埃塞俄比亚 罕贝拉G1 花魁 圆豆 （小粒）","premium","埃塞俄比亚","茉莉花 柠檬草 葡萄柚 甜橙 蜂蜜 红茶","GUJI/HAMBELA/Buku ABEL","2024","X8-2","100.0","3000.0","G1","2200-2350M","895g/l","水洗处理","Heirloom"
"埃塞俄比亚 西达摩 古齐 夏奇索 G1 日晒","premium","埃塞俄比亚","草莓的酸甜风味 柑橘 热带水果 红酒 口感干净","Guji/shakiso/Testi","2024","X7-2","100.0","3000.0","G1","1900-2200M","890g/l","日晒处理","Heirloom"
"埃塞俄比亚 西达摩 古齐 G1日晒 蓝色赫拉","premium","埃塞俄比亚","热带水果调性 红酒 柠檬 柑橘香 花香","Guji uraga","2024","X9-3","95.0","2850.0","G1","1950-2250M","855g/l","日晒处理","Heirloom"
"埃塞俄比亚 班奇马吉 瑰夏G1 日晒 （2024新产季）","premium","埃塞俄比亚","花香 柑橘 杮子 热带水果风味 蜂蜜 甜感强","Bench Maji","2024","X9-6","135.0","4050.0","G1","1600M","","日晒处理","GEISHA"
"埃塞俄比亚 西达摩G1 日晒 小粒花魁","premium","埃塞俄比亚","玫瑰花香 草莓 杏桃 甜橙 水果糖 哈蜜瓜 层次丰富 果汁 草莓酱余韵悠长","GUJI/HAMBELA Buku Sayisa","2024","X8","120.0","3600.0","G1","2200-2350M","888g/l","日晒处理","Heirloom"
"埃塞俄比亚 耶加雪菲 阿多斯 伊迪朵水洗 G1 （TESTI）","premium","埃塞俄比亚","花香浓郁 明亮果酸 柑橘 蜂蜜 口感清新","Idido/ Testi Adorsi Washing Station","2024","X10-7","100.0","3000.0","G1","1900-2200M","887g/l","水洗处理","Heirloom"
"埃塞俄比亚 耶加雪菲 阿瑞查 水洗 G1","premium","埃塞俄比亚","水蜜桃 荔枝 柑橘 干净顺滑","阿瑞查/阿多斯处理厂 （Testi Adorsi Washing Station）","2023","X10-5","95.0","5700.0","G1","2150-2250M","882g/l","水洗处理","74110"
"埃塞俄比亚 科切尔 牧羊人 水洗 G1","premium","埃塞俄比亚","花香气明显 蜂蜜香草 樱桃酸不刺激 蜂蜜 高级榛果 白柚风味 甜感细腻 余味蜂蜜甜与樱桃果酸很融合且持久","Kochere/Gedeo","2024","X10-9","110.0","3300.0","G1","1800-2200M","853g/l","水洗处理","Heirloom"
"埃塞俄比亚 耶加雪菲 阿多斯 阿瑞查 水洗G1 （TESTI）","premium","埃塞俄比亚","花香 柑橘 水蜜桃 荔枝 口感干净顺滑","Idido/ Testi Adorsi Washing Station","2024","X10-4","103.0","3090.0","G1","1900-2200M","866g/l","水洗处理","KERUME"
"埃塞俄比亚 歌迪贝 果丁丁 水洗 G1","premium","埃塞俄比亚","花香 佛手柑 柠檬柑橘和草莓的层次 热带水果","Banko Gotiti Gedeb Gedeo Zone","2024","X10-3","110.0","3300.0","G1","2050-2280M","","水洗处理","Heirloom"
"埃塞俄比亚 班其玛吉 瑰夏 G1 水洗","premium","埃塞俄比亚","花香 柑橘 细腻果酸 浓郁的水果风味 口感干净平衡","Bench Maji","2024","X10-2S","135.0","4050.0","G1","1650M","842g/l","水洗处理","GEISHA"
"埃塞俄比亚 卡法森林 瑰夏 水洗 G1","premium","埃塞俄比亚","橙子香气 李子 柑橘酸 青柠 酸质明亮 绿茶尾韵","卡法森林 生产者： MPC","2024","X10-2T","100.0","3000.0","G1","1800M","891g/l","水洗处理","GEISHA"
"埃塞俄比亚 格拉纳庄园 瑰夏G1 厌氧日晒","premium","埃塞俄比亚","草莓 葡萄 莓果 柑橘 热带水果 甜感强 丰富复杂的口感","Oromia/Gelana","2024","X10-2","125.0","3750.0","G1","1600M","823g/l","厌氧日晒处理","GEISHA"
"埃塞俄比亚 格拉纳庄园 瑰夏 日晒 G1","premium","埃塞俄比亚","草莓 苹果 柠檬等浓烈的水果香气 成熟果实的甜感 清爽复杂的口感","Gelana","2024","X10-1","115.0","3450.0","G1","1600M","906g/l","日晒处理","GEISHA"
"埃塞俄比亚 西达摩 班莎 Bombe 全红果 水洗 G1","premium","埃塞俄比亚","玫瑰花 草莓 甜橙果酱 柑橘 蓝莓","Bensa/Ayla处理厂Testi Ayla Washing Station","2023","X14","88.0","2640.0","G1","1800-2000m","850g/l","水洗处理","74110"
"桃乐茜.埃塞俄比亚 安娜索拉 酵素水洗","premium","桃乐茜.埃塞俄比亚","柠檬 蜜桃 李子 乌龙茶","Ana Dora","2024","X12","225.0","4500.0","G1","1900-2350M","840g/l","酵素水洗","Heirloom"
"桂花窨.埃塞俄比亚 耶加雪菲 科切尔","premium","桂花窨.埃塞俄比亚","桂花 砂糖橘 蔓越莓 杏干 葡萄干 蜂蜜 普洱茶","Kochere","2023","X13","205.0","4100.0","G1","1800-1930M","723g/l","水洗&桂花古法窨制","Heirloom"
"茉莉窨.埃塞俄比亚 耶加雪菲 G1","premium","茉莉窨.埃塞俄比亚","浓郁茉莉花香 柑橘 绿茶 茶香四溢 余韵悠长","Kochere","2024","X13-1","180.0","5400.0","G1","1800-1930M","","水洗&茉莉花古法窨制","Heirloom"
"埃塞俄比亚 西达摩 G1 罕贝拉 花魁 水洗","premium","埃塞俄比亚","茉莉花香 百香果 柑橘 甜感强 绿茶","BUKU Abel处理厂","2024","X17","95.0","2850.0","G1","2200-2350M","895g/l","水洗处理","Heirloom"
"埃塞俄比亚 耶加雪菲 科切尔 碧罗亚 水洗G1","premium","埃塞俄比亚","茉莉花 酸质明亮 茶感好 口感干净顺滑","科切尔/Beloya处理厂","2024","X11","100.0","3000.0","G1","1950M","870g/l","水洗处理","Heirloom"
"埃塞俄比亚 耶加雪菲 沃卡 水洗 （2020年COE第26名）","premium","埃塞俄比亚","花香明显 愉悦的香气 柑橘 番石榴 莓果 口感干净","worka/chellba处理厂","2024","X11-1","100.0","3000.0","G1","1950-2100M","","水洗处理","Heirloom"
"哥斯达黎加 卡内特庄园 葡萄干蜜处理 音乐家 巴哈","premium","哥斯达黎加","","Canet庄园","2024","S12-1","200.0","190.0","SHB","1950M","895g/l","葡萄干蜜处理","Caturra"
"哥斯达黎加 卡内特 音乐家系列 莫扎特","premium","哥斯达黎加","浓烈酒香 加州黑李 蜜饯 太妃糖甜 瑞士巧克力 尾韵有着兰姆酒般醇厚。","Canet庄园","2024","S12-2","180.0","170.0","SHB","1900M","853g/l","葡萄干蜜处理","Caturra"
"哥斯达黎加 巨石庄园 瑰夏 日晒","premium","哥斯达黎加","新鲜菠萝 综合莓果 番石榴酸 蜜饯 焦糖 核果 风味强劲。","Finca Casa de Piedra","2023","S11-7","200.0","190.0","SHB","1500-1700M","877g/l","日晒处理","Geisha"
"哥斯达黎加 米拉珠庄园 厌氧日晒 Maico瑰夏","premium","哥斯达黎加","花香 甜橙 菠萝 葡萄 高甜度 风味丰富多变。","Mirazu庄园","2023","S12-5","320.0","","SHB","1700M","885g/l","日晒处理","Maico Geisha"
"哥斯达黎加 卡内特庄园 肖邦 葡萄干蜜处理 F1品种","premium","哥斯达黎加","茉莉花香 桃子 百香果 香柠檬 伯爵茶。","Canet庄园","2024","S12-3","200.0","190.0","SHB","1700M","853g/l","葡萄干蜜处理","F1"
"哥斯达黎加 米拉珠庄园 酒桶静置 葡萄干蜜处理 （瑰夏拼配）","premium","哥斯达黎加","草莓 紫葡萄 樱桃 红莓 枫糖 香槟酒。","Mirazu庄园","2024","S12-4A","200.0","190.0","SHB","1700M","853g/l","酒桶静置， 葡萄干蜜处理","Geisha ， ET47， SL28， Maico"
"哥斯达黎加 米拉珠庄园 葡萄干蜜处理 （瑰夏拼配）","premium","哥斯达黎加","红葡萄 酒感 蓝莓 杨桃 巧克力。","Mirazu庄园","2023","S12-4","165.0","155.0","SHB","1700M","856g/l","葡萄干蜜处理","Geisha ， ET47， SL28， Maico"
"哥斯达黎加 小蜜蜂 黑蜜处理","premium","哥斯达黎加","爆炸茉莉花香 草莓糖 水蜜桃 水果酒。","SAN VITO/LA ABEJILLA FARM","2023","S12-7","145.0","135.0","SHB","1600M","905g/l","黑蜜处理","Venecia"
"哥斯达黎加 爱丽斯庄园 红蜜处理","premium","哥斯达黎加","黄花 橘子 枣子 绿茶。","TRES RIOS","2024","S14","120.0","110.0","SHB","1350M","868g/l","红蜜处理","F1"
"哥斯达黎加 拉斯拉哈斯 黑珍珠日晒","premium","哥斯达黎加","蔓越莓 提子 枫糖。","中央山谷/拉斯拉哈斯庄园","2023","S14-7","155.0","145.0","SHB","1600M","795g/l","黑珍珠日晒","Caturra"
"哥斯达黎加 拉斯拉哈斯 黑灵魂","premium","哥斯达黎加","黑莓 黑布林 葡萄干 蜜饯 酒香 甜感持久饱满 BODY厚实。","中央山谷/拉斯拉哈斯庄园","2023","S14-8","140.0","130.0","SHB","1600M","812g/l","全红果日晒","卡杜拉&卡杜艾"
"哥斯达黎加 巨石庄园 F1黑蜜处理","premium","哥斯达黎加","樱桃果酱 黑加仑 热带水果 可可 甜感十足。","Finca Las Piedra","2023","S12-6","140.0","130.0","SHB","1700-1800M","862g/l","黑蜜处理","F1"
"秘鲁 禅茶玛悠 卡杜拉 日晒","premium","秘鲁","花香 柑橘 橙子 樱桃 坚果 核桃 巧克力 糖蜜 甜度好 余韵悠长。","禅茶玛悠/COOPCHE （库普合作社）","","S15-3","","","SHB","1600M","860g/l","日晒处理","Caturra"
"秘鲁 禅茶玛悠 瑰夏 日晒","premium","秘鲁","玫瑰 茉莉 果味 橘子 可可 明亮的酸度 干果 无花果 榛子 持久而柔软的BODY。","禅茶玛悠/COOPCHE （库普合作社）","2024","S15","","","SHB","1800M","846g/l","日晒处理","GEISHA"
"秘鲁 禅茶玛悠 卡杜拉 水洗","premium","秘鲁","花香 柑橘 甘蔗 巧克力 焦糖 蜜糖 麦芽 奶油 酸质明亮 余韵悠长。","禅茶玛悠/COOPCHE （库普合作社）","2024","S15-4","","","SHB","1600M","","水洗处理","Caturra"
